City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
595,Katobu,ID,82.58,clear sky,-4.9408,122.5276,La Ode Husein
596,Manado,ID,88.57,scattered clouds,1.487,124.8455,Aryaduta Hotel
603,Bima,ID,85.12,overcast clouds,-8.4667,118.7167,Lambitu Hotel
606,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
609,Mackay,AU,83.68,overcast clouds,-21.15,149.2,International Lodge Motel
613,Santa Fe,AR,82.98,clear sky,-31.6333,-60.7,Conquistador Hotel
616,Ahuimanu,US,77.77,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
619,Bundaberg,AU,82.22,broken clouds,-24.85,152.35,Takalvan Motel
620,Inhambane,MZ,75.58,few clouds,-23.865,35.3833,Oceano
628,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
630,Metro,ID,83.44,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
635,Pandan,PH,80.94,scattered clouds,14.0453,124.1694,Bonifacio Lodge
640,Kupang,ID,84.04,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
641,Koumac,NC,84.7,scattered clouds,-20.5667,164.2833,Le Monitel
645,Minna,NG,79.66,clear sky,9.6139,6.5569,Royal Park hotel & suites
646,Tiarei,PF,89.62,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
649,Serra Talhada,BR,80.35,overcast clouds,-7.9919,-38.2983,Pousada São Luiz
651,Tibiao,PH,81.82,overcast clouds,11.2915,122.0354,Kasa Raya Inn
